HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
05QD-204,2536049.54,6713150.71,2409.81,239.3,QDD_Main
05QD-205,2536108.99,6713192.86,2355,232.7,QDD_Main
05QD-206,2534062.43,6714227.55,1996.81,161.2,QDD_Main
05QD-207,2534063.23,6714227.5,1997.78,177.1,QDD_Main
05QD-208,2536104.98,6713194.7,2355,391.9,QDD_Main
05QD-209,2534063.95,6714224.48,2000.24,89.6,QDD_Main
05QD-210,2536196.63,6713186.14,2341.5,136.9,QDD_Main
05QD-211,2534061.81,6714220.64,2000.72,123,QDD_Main
05QD-212,2536192.36,6713187.71,2341.5,100,QDD_Main
05QD-214,2536205.24,6713237.16,2313,140,QDD_Main
05QD-217,2533935.51,6714093.94,2033.75,254.9,QDD_Main
05QD-218,2536164.65,6713267.65,2305,99.75,QDD_Main
05QD-222,2536160.08,6713268.06,2305,100.1,QDD_Main
05QD-224,2536131.73,6713220.09,2313.45,192.65,QDD_Main
05QD-227,2536134.81,6713221.27,2313,106.7,QDD_Main
05QDR-152,2536497.83,6712765.63,2589.43,400,QDD_Main
05QDR-154,2535582.09,6712774.42,2517,370,QDD_Main
05QDR-157,2535585.07,6712766.27,2517,312,QDD_Main
05QDR-166,2534234.67,6713505.87,2446.66,400,QDD_Main
05QDR-166A,2534239.65,6713508.71,2446.34,18,QDD_Main
05QDR-167,2534233.55,6713499.22,2446.81,402,QDD_Main
05QDR-168,2534126.41,6713731.71,2398.99,308,QDD_Main
05QDR-168A,2534126.34,6713731.23,2398.99,18,QDD_Main
05QDR-169,2534117.34,6713732.67,2399.33,360,QDD_Main
05QDR-176,2534445.63,6713931.74,2070.96,104,QDD_Main
05QDR-177,2534211.38,6714082.15,2104.99,150,QDD_Main
05QDR-178,2534166.42,6714162.6,2102.57,276,QDD_Main
05QDR-181,2532222.86,6713979.76,2359.19,100,QDD_Main
05QDR-182,2535240.89,6713341.33,2057.5,220,QDD_Main
05QDR-184,2535353.55,6713284.37,2105.11,164,QDD_Main
05QDR-186,2535464.14,6713328.25,2123.14,200,QDD_Main
05QDR-187,2535472.19,6713309.23,2123.57,206,QDD_Main
05QDR-189,2535451.99,6713254.59,2115.56,200,QDD_Main
05QDR-190,2535451.61,6713252.42,2115.55,222,QDD_Main
05QDR-191,2535444.05,6713251.65,2115.5,120,QDD_Main
05QDR-192,2536110.63,6713192.74,2355,174,QDD_Main
05QDR-194,2536110.07,6713196.86,2354.83,292,QDD_Main
05QDR-196,2536107.27,6713198.22,2355,282,QDD_Main
05QDR-197,2534892.43,6713793.31,2028.5,84,QDD_Main
05QDR-198,2535191.66,6713353.36,2063.5,78,QDD_Main
05QDR-199,2535124.44,6713424.73,2054.15,84,QDD_Main
05QDR-203,2535472.13,6713312.54,2123.5,172,QDD_Main
05QDR-213,2536108.63,6713200.8,2355,300,QDD_Main
05QDR-215,2536639,6713159,2318,260,QDD_Main
05QDR-216,2536474.02,6713231.81,2322,200,QDD_Main
05QDR-219,2536391.11,6713231.73,2319.5,210,QDD_Main
05QDR-220,2536387.73,6713224.87,2319.5,250,QDD_Main
05QDR-221,2534224.78,6714119.34,2070.29,200,QDD_Main
05QDR-223,2534296.47,6714074.75,2071.27,200,QDD_Main
05QDR-225,2535121.82,6713420.6,2054.5,176,QDD_Main
05QDR-226,2535363.33,6713291.55,2104.54,202,QDD_Main
05QDR-228,2535548.59,6713188.38,2088,210,QDD_Main
